,MaxAccX,MinAccX,1stQuartileAccX,Delta1stQuartileMinAccX,2ndQuartileAccX,3rdQuartileAccX,Delta3rdQuartileMaxAccX,DeltaMinMaxAccX,StdDevAccX,MaxDiffAccX,MinDiffAccX,1stQuartileDiffAccX,Delta1stQuartileMinDiffAccX,2ndQuartileDiffAccX,3rdQuartileDiffAccX,Delta3rdQuartileMaxDiffAccX,DeltaMinMaxDiffAccX,StdDevDiffAccX,MaxAccY,MinAccY,1stQuartileAccY,Delta1stQuartileMinAccY,2ndQuartileAccY,3rdQuartileAccY,Delta3rdQuartileMaxAccY,DeltaMinMaxAccY,StdDevAccY,MaxDiffAccY,MinDiffAccY,1stQuartileDiffAccY,Delta1stQuartileMinDiffAccY,2ndQuartileDiffAccY,3rdQuartileDiffAccY,Delta3rdQuartileMaxDiffAccY,DeltaMinMaxDiffAccY,StdDevDiffAccY,MaxAccZ,MinAccZ,1stQuartileAccZ,Delta1stQuartileMinAccZ,2ndQuartileAccZ,3rdQuartileAccZ,Delta3rdQuartileMaxAccZ,DeltaMinMaxAccZ,StdDevAccZ,MaxDiffAccZ,MinDiffAccZ,1stQuartileDiffAccZ,Delta1stQuartileMinDiffAccZ,2ndQuartileDiffAccZ,3rdQuartileDiffAccZ,Delta3rdQuartileMaxDiffAccZ,DeltaMinMaxDiffAccZ,StdDevDiffAccZ,SourceFile,Category
130,0.06584054976701736,-0.363918662071228,-0.17956513166427612,0.1843535304069519,-0.05207388661801815,0.0011971008498221636,0.0646434489171952,0.4297592118382454,0.11527446214400437,0.4141968972980976,-0.40222588926553726,-0.13168109697289765,0.2705447922926396,-0.0059855058789253235,0.14065935305552557,0.27353754424257204,0.8164227865636349,0.19995198960391855,0.5303156971931458,0.02274491637945175,0.17836803197860718,0.15562311559915543,0.2885012924671173,0.3363853394985199,0.19393035769462585,0.507570780813694,0.0992036367390266,0.34835634008049965,-0.3663128651678562,-0.12090718001127243,0.24540568515658379,-0.0005985498428344727,0.1304839923977852,0.21787234768271446,0.7146692052483559,0.17057640324345144,9.862914085388184,9.434351921081543,9.591770648956299,0.15741872787475586,9.679158687591553,9.745897054672241,0.11701703071594238,0.4285621643066406,0.10518212740497707,0.39743804931640625,-0.4010286331176758,-0.06135153770446777,0.339677095413208,-0.007781505584716797,0.06254839897155762,0.33488965034484863,0.798466682434082,0.16151514168252645,./Data/Curated/LightLoad/Experiment11.csv,LightLoad
100,0.7601590156555176,-0.8343793153762817,-0.3480570614337921,0.4863222539424896,-0.08140285685658455,0.16071078553795815,0.5994482301175594,1.5945383310317993,0.36574599524342477,1.419761598110199,-0.842758983373642,-0.4201824082992971,0.4225765750743449,-0.11671733856201172,0.30436286865733564,1.1153987294528633,2.262520581483841,0.5407724476729446,0.5554547905921936,-0.004788403399288654,0.19722236692905426,0.20201077032834291,0.28311434388160706,0.34506431221961975,0.21039047837257385,0.5602431939914823,0.1170811623663519,0.438138909637928,-0.37349545606411994,-0.1595136821269989,0.21398177393712103,0.001795649528503418,0.13527238368988037,0.30286652594804764,0.8116343657020479,0.18248936373572822,10.11669921875,9.281123161315918,9.569623947143555,0.2885007858276367,9.688137531280518,9.787795782089233,0.3289034366607666,0.835576057434082,0.1613970721686898,0.42975902557373047,-0.602142333984375,-0.17627310752868652,0.4258692264556885,0.011971473693847656,0.18944144248962402,0.24031758308410645,1.0319013595581055,0.22203284272800541,./Data/Curated/HeavyLoad/Experiment41.csv,HeavyLoad
117,0.7122750282287598,-0.9576807022094727,-0.456095427274704,0.5015852749347687,-0.14844051003456116,0.2935889959335327,0.41868603229522705,1.6699557304382324,0.43127531067061337,1.1803414225578308,-1.4125789999961853,-0.47644612565636635,0.936132874339819,0.06045358628034592,0.5183446556329727,0.6619967669248581,2.592920422554016,0.6175559237336555,0.5985504388809204,-0.12330138683319092,0.1496376097202301,0.272938996553421,0.2950853705406189,0.4183867573738098,0.1801636815071106,0.7218518257141113,0.16946307652569956,0.5650316020473838,-0.6643909811973572,-0.1726817972958088,0.4917091839015484,0.01197102665901184,0.16968905366957188,0.3953425483778119,1.229422583244741,0.25415500245991995,10.24239444732666,9.066842079162598,9.511863946914673,0.4450218677520752,9.68694019317627,9.84226369857788,0.4001307487487793,1.1755523681640625,0.23410109636688284,0.6703767776489258,-0.8798694610595703,-0.2151789665222168,0.6646904945373535,0.02454090118408203,0.23343467712402344,0.43694210052490234,1.550246238708496,0.31953690690818914,./Data/Curated/HeavyLoad/Experiment58.csv,HeavyLoad
28,-0.07781155407428741,-0.10654197633266449,-0.0933738648891449,0.013168111443519592,-0.08978256583213806,-0.08738835901021957,0.00957680493593216,0.028730422258377075,0.004965894015156899,0.019153617322444916,-0.01795651763677597,-0.004788406193256378,0.013168111443519592,0.0,0.004788406193256378,0.014365211129188538,0.037110134959220886,0.006962901032773932,0.16160862147808075,0.1388636976480484,0.14844051003456116,0.009576812386512756,0.15083470940589905,0.15442600846290588,0.007182613015174866,0.02274492383003235,0.004263035921972444,0.017956510186195374,-0.016759410500526428,-0.003591299057006836,0.013168111443519592,0.0,0.003591299057006836,0.014365211129188538,0.0347159206867218,0.00584124011960651,9.710882186889648,9.676166534423828,9.68694019317627,0.010773658752441406,9.690531730651855,9.694122314453125,0.016759872436523438,0.03471565246582031,0.005832754541269542,0.021547317504882812,-0.031124114990234375,-0.005985260009765625,0.02513885498046875,0.0,0.005087614059448242,0.01645970344543457,0.05267143249511719,0.008323538284911164,./Data/Curated/Off/Experiment29.csv,Off
75,0.7912836670875549,-1.0414776802062988,-0.3917512595653534,0.6497264206409454,-0.076015904545784,0.24510639905929565,0.5461772680282593,1.8327613472938538,0.416269562782713,1.7310078144073486,-1.521515130996704,-0.5201403042301536,1.0013748267665505,0.04249709099531174,0.48692076839506626,1.2440870460122824,3.2525229454040527,0.6852888726224259,0.7230489253997803,-0.05386953800916672,0.14425064623355865,0.19812018424272537,0.25019407272338867,0.37648820877075195,0.3465607166290283,0.776918463408947,0.18371151167612076,0.6093243360519409,-0.6811504103243351,-0.17866730690002441,0.5024831034243107,0.017956502735614777,0.19901800528168678,0.41030633077025414,1.290474746376276,0.2747058953138033,10.123882293701172,9.209297180175781,9.549871921539307,0.3405747413635254,9.682750225067139,9.806650161743164,0.3172321319580078,0.9145851135253906,0.18150535240613785,0.6069297790527344,-0.6919240951538086,-0.18375468254089355,0.508169412612915,-0.022745132446289062,0.20111298561096191,0.40581679344177246,1.298853874206543,0.26535589773260365,./Data/Curated/HeavyLoad/Experiment16.csv,HeavyLoad
95,0.7960720658302307,-0.7050924301147461,-0.34087446331977844,0.36421796679496765,-0.08379705995321274,0.15083470940589905,0.6452373564243317,1.5011644959449768,0.36781571610133795,1.359906554222107,-0.9624690860509872,-0.4085106812417507,0.5539584048092365,-0.10893617570400238,0.30196866393089294,1.057937890291214,2.322375640273094,0.5368811638811203,0.608127236366272,-0.0035913025494664907,0.21428105235099792,0.21787235490046442,0.2795230448246002,0.3486556112766266,0.2594716250896454,0.6117185389157385,0.117522146307841,0.3926490694284439,-0.4453215152025223,-0.14245501160621643,0.30286650359630585,0.001795649528503418,0.12120646238327026,0.27144260704517365,0.8379705846309662,0.17753900283023408,10.125079154968262,9.23563289642334,9.595661401748657,0.3600285053253174,9.696516990661621,9.784503698348999,0.3405754566192627,0.8894462585449219,0.16267421338371774,0.4704608917236328,-0.5829877853393555,-0.16190791130065918,0.4210798740386963,0.022146224975585938,0.17088651657104492,0.2995743751525879,1.0534486770629883,0.21972826337281148,./Data/Curated/HeavyLoad/Experiment36.csv,HeavyLoad
34,-0.07422025501728058,-0.10534487664699554,-0.0933738648891449,0.011971011757850647,-0.08978256583213806,-0.08738835901021957,0.013168103992938995,0.031124621629714966,0.005229419544174786,0.02274491637945175,-0.02035071700811386,-0.0059854984283447266,0.014365218579769135,0.0,0.005087679252028465,0.017657237127423286,0.04309563338756561,0.007804255149154337,0.16639702022075653,0.14006079733371735,0.14933833479881287,0.00927753746509552,0.152031809091568,0.15442600846290588,0.011971011757850647,0.026336222887039185,0.004527168396728039,0.01915360987186432,-0.017956510186195374,-0.004788398742675781,0.013168111443519592,0.0,0.004788398742675781,0.014365211129188538,0.03711012005805969,0.006570724794234449,9.71926212310791,9.66419506072998,9.68694019317627,0.022745132446289062,9.691728591918945,9.696516990661621,0.022745132446289062,0.05506706237792969,0.0075325532609600105,0.039504051208496094,-0.050278663635253906,-0.005986213684082031,0.044292449951171875,0.0,0.007182121276855469,0.032321929931640625,0.08978271484375,0.011277365990655652,./Data/Curated/Off/Experiment35.csv,Off
116,0.7350199222564697,-0.9445125460624695,-0.4692635238170624,0.4752490222454071,-0.12509704381227493,0.3082534670829773,0.42676645517349243,1.6795324683189392,0.43345920756477735,1.2473790645599365,-1.4449006915092468,-0.4776432446669787,0.9672574468422681,0.08858546614646912,0.5129577331244946,0.734421331435442,2.6922797560691833,0.6198383088537667,0.608127236366272,-0.1280897855758667,0.15652093291282654,0.28461071848869324,0.30286651849746704,0.42377370595932007,0.1843535304069519,0.7362170219421387,0.17448261515005453,0.623689565807581,-0.6392518803477287,-0.1861492022871971,0.4531026780605316,0.026336204260587692,0.16759412502869964,0.4560954407788813,1.2629414461553097,0.2647297079632463,10.200496673583984,9.135076522827148,9.503484010696411,0.3684074878692627,9.67616605758667,9.850044965744019,0.3504517078399658,1.065420150756836,0.23458568332133306,0.7098808288574219,-0.8535327911376953,-0.24091696739196777,0.6126158237457275,0.022745132446289062,0.24331068992614746,0.4665701389312744,1.5634136199951172,0.32390784833160835,./Data/Curated/HeavyLoad/Experiment57.csv,HeavyLoad
139,0.07661445438861847,-0.29209262132644653,-0.15831658244132996,0.13377603888511658,-0.0802057534456253,-0.011671732878312469,0.08828618726693094,0.368707075715065,0.09153658136982205,0.33758245408535004,-0.343567930161953,-0.12330138951074332,0.22026654065120965,0.0023941993713378906,0.1286883419379592,0.20889411214739084,0.681150384247303,0.16263838361647912,0.5817909836769104,0.06823474913835526,0.23672668635845184,0.1684919372200966,0.2777273952960968,0.3100491166114807,0.2717418670654297,0.5135562345385551,0.05964422579925017,0.28371288627386093,-0.3016693890094757,-0.0421978160738945,0.2594715729355812,-0.0023941993713378906,0.045789092779159546,0.23792379349470139,0.5853822752833366,0.10403254474649491,9.819818496704102,9.475052833557129,9.635165452957153,0.16011261940002441,9.673173427581787,9.706093788146973,0.1137247085571289,0.34476566314697266,0.06437117140699275,0.2932891845703125,-0.25977039337158203,-0.06943154335021973,0.1903388500213623,0.0,0.06703758239746094,0.22625160217285156,0.5530595779418945,0.10624326939470727,./Data/Curated/LightLoad/Experiment20.csv,LightLoad
62,0.9804255962371826,-1.1863269805908203,-0.5249287486076355,0.6613982319831848,-0.07481880486011505,0.3908534348011017,0.5895721614360809,2.166752576828003,0.5462918673906008,1.519120991230011,-1.6424223184585571,-0.8047510669566691,0.837671251501888,-0.004788406193256378,0.8873509848490357,0.6317700063809752,3.161543309688568,0.9204944759919416,0.6607996821403503,-0.10654197633266449,0.1792658530175686,0.2858078293502331,0.2968810200691223,0.37828385829925537,0.28251582384109497,0.7673416584730148,0.1505691004237642,0.557849008589983,-0.5674258172512054,-0.16879120469093323,0.3986346125602722,-0.03711012005805969,0.17866729944944382,0.37918170914053917,1.1252748258411884,0.23997581235693266,10.006566047668457,9.306262016296387,9.586084604263306,0.27982258796691895,9.671976566314697,9.76744532585144,0.2391207218170166,0.7003040313720703,0.12900849694071084,0.5363016128540039,-0.4967966079711914,-0.1283891201019287,0.3684074878692627,0.0,0.12479758262634277,0.41150403022766113,1.0330982208251953,0.17895552181467464,./Data/Curated/HeavyLoad/Experiment3.csv,HeavyLoad
